new_tweet,tokens,vaccinated,sentiment_score,sentiment_label,favorite_count,retweet_count,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,favorite_log,retweet_log,user_favourites_log,user_followers_log,user_friends_log,user_listed_log
"- i think i'll take a risk and wait for my jab. i want to see the evidence that this vaccine is safe first. my body is precious to me â€” anyway, i'll have this litre of vodka and 40 silkcut please...",think risk wait jab want evidence vaccine safe body precious litre vodka silkcut,0,0.7003,positive,1,1028,2,584,249,31,0.0,6.93537044601511,0.6931471805599453,6.369900982828227,5.517452896464707,3.4339872044851463
"- i think i'll take a risk and wait for my jab. i want to see the evidence that this vaccine is safe first. my body is precious to me â€” anyway, i'll have this litre of vodka and 40 silkcut please...",think risk wait jab want evidence vaccine safe body precious litre vodka silkcut,0,0.7003,positive,1,1028,27622,740,892,46,0.0,6.93537044601511,10.226367835637873,6.606650186198215,6.79346613258001,3.828641396489095
"- Lots of feelings today - After working for Minister as part of the amazing team helping to vaccine into ðŸ‡¨ðŸ‡¦ I got my first dose of #COVID19Vaccine . I'm feeling relieved, thankful, exhausted, energized and proud of the hard work that went into getting these",lot feel today work minister amaze team help vaccine get dose feel relieve thankful exhaust energize proud hard work go get,1,0.9432,positive,445,26,81734,1549,1222,25,6.09807428216624,3.258096538021482,11.31122535094967,7.3453648404168685,7.108244139731541,3.2188758248682006
"- Lots of feelings today - After working for Minister as part of the amazing team helping to vaccine into ðŸ‡¨ðŸ‡¦ I got my first dose of #COVID19Vaccine . I'm feeling relieved, thankful, exhausted, energized and proud of the hard work that went into getting these",lot feel today work minister amaze team help vaccine get dose feel relieve thankful exhaust energize proud hard work go get,1,0.9432,positive,1,26,44702,2424,2514,75,0.0,3.258096538021482,10.70777352233004,7.793174347189205,7.829630389150193,4.31748811353631
"- Lots of feelings today - After working for Minister as part of the amazing team helping to vaccine into ðŸ‡¨ðŸ‡¦ I got my first dose of #COVID19Vaccine . I'm feeling relieved, thankful, exhausted, energized and proud of the hard work that went into getting these",lot feel today work minister amaze team help vaccine get dose feel relieve thankful exhaust energize proud hard work go get,1,0.9432,positive,1,26,436808,7602,7085,61,0.0,3.258096538021482,12.98724901826343,8.936166649549195,8.865735152124781,4.110873864173311
! Go get jabbed! Go go go!,jab,1,0.0,neutral,1,1,1498,159,60,7,0.0,0.0,7.311886164077165,5.0689042022202315,4.0943445622221,1.9459101490553132
"! If you haven't been following her on and her fight for primary care physicians in  being allowed to administer vaccine, you are missing a hero in action! Like so many others, I got my first jab because of her and her advocacy!",haven follow fight primary care physicians allow administer vaccine miss hero action like get jab advocacy,1,0.7906,positive,6,1,35506,191,719,1,1.791759469228055,0.0,10.477456975266742,5.25227342804663,6.577861357721047,0.0
""" says it is planning how to lessen quarantine requirements for those have had both jabs of any two-dose vaccine."" What does this mean if you've mixed and matched, say AZ first dose and Pfizer second dose?",say plan lessen quarantine requirements jab dose vaccine mean mix match dose pfizer second dose,1,0.0,neutral,1,1,319,202,280,13,0.0,0.0,5.765191102784844,5.308267697401205,5.634789603169249,2.5649493574615367
"""Fauci says 'no, it's still not okay' for vaccinated people to eat in restaurants"" If you aren't protected from infection and spreading Covid, what's the ""real"" point of getting the jab?",fauci say okay vaccinate people eat restaurants aren protect infection spread covid real point get jab,0,0.5423,positive,1,56,48343,353,887,9,0.0,4.02535169073515,10.786076712737268,5.8664680569332965,6.787844982309579,2.1972245773362196
"""Fauci says 'no, it's still not okay' for vaccinated people to eat in restaurants"" If you aren't protected from infection and spreading Covid, what's the ""real"" point of getting the jab?",fauci say okay vaccinate people eat restaurants aren protect infection spread covid real point get jab,0,0.5423,positive,1,56,70253,5689,4973,456,0.0,4.02535169073515,11.15985829091051,8.646289764750648,8.511778558714738,6.1224928095143865
"""Getting covid vaccine right is something that pharma companies know they can't afford to get wrong"" No mention of no legal liability for pharma companies. If they're going to try and sweet talk kids into having experimental jabs they should at least try and be a bit honest.",get covid vaccine right pharma company know afford wrong mention legal liability pharma company go try sweet talk kid have experimental jab try bite honest,0,0.4404,positive,4,1,30061,866,1358,7,1.3862943611198906,0.0,10.310983929553371,6.763884908562435,7.213768308118642,1.9459101490553132
"""Please keep trying"" is incredibly frustrating advice to hear in the midst of the pandemic. It's Day 4 since the second dose booking system opened. My options today were all in Barrie.",try incredibly frustrate advice hear midst pandemic day second dose book open options today barrie,0,-0.5095,negative,1,6,71046,935,483,10,0.0,1.791759469228055,11.171082833559012,6.840546529288687,6.180016653652572,2.302585092994046
"""Please keep trying"" is incredibly frustrating advice to hear in the midst of the pandemic. It's Day 4 since the second dose booking system opened. My options today were all in Barrie.",try incredibly frustrate advice hear midst pandemic day second dose book open options today barrie,0,-0.5095,negative,1,6,102400,348,370,1,0.0,1.791759469228055,11.536641991587544,5.8522024797744745,5.91350300563827,0.0
"""Regina resident who thought she'd be given #Pfizer vaccine shocked after being told she'd get #AstraZeneca""  by This reaction fuelled by poor #scicomm around AZ! I'm EXCITED, THRILLED, PUMPED to get AZ vaccine tomorrow! #ScienceUpFirst",regina resident think give vaccine shock tell reaction fuel poor excite thrill pump vaccine tomorrow,1,-0.0258,neutral,1,19,10766,4668,229,302,0.0,2.9444389791664403,9.284148299120902,8.448485993406447,5.43372200355424,5.71042701737487
"""Regina resident who thought she'd be given #Pfizer vaccine shocked after being told she'd get #AstraZeneca""  by This reaction fuelled by poor #scicomm around AZ! I'm EXCITED, THRILLED, PUMPED to get AZ vaccine tomorrow! #ScienceUpFirst",regina resident think give vaccine shock tell reaction fuel poor excite thrill pump vaccine tomorrow,1,-0.0258,neutral,1,19,73673,9016,4758,155,0.0,2.9444389791664403,11.207391660987005,9.106756055719613,8.467582690862903,5.043425116919247
"""The EMA has clarified that the risk is incredibly small."" Licenced pharmacist and Green MEP tells me AstraZeneka's COVID vaccine is no more dangerous than Aspirin. Music to my ears, having gotten my first AZ jab yesterdayðŸ‘",ema clarify risk incredibly small licence pharmacist green mep tell astrazeneka covid vaccine dangerous aspirin music ears have get jab yesterdayðÿ,1,-0.6369,negative,1,3,2948,4894,156,99,0.0,1.0986122886681098,7.988882253309227,8.495765244002618,5.049856007249537,4.59511985013459
"""When it's your turn"", these are experimental gene therapies under clinical trials till 2023. It's voluntary to participate, not your turn. Do some research on the adverse reactions before getting the jab. There is no liability for Big Pharma.",turn experimental gene therapies clinical trials till voluntary participate turn research adverse reactions get jab liability big pharma,0,-0.5106,negative,2,1,73551,771,973,1,0.6931471805599453,0.0,11.205734322130223,6.647688373563329,6.880384082186005,0.0
